"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0221184557192107,1,2,6,59,0,0,0,16,1.80056759057775
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0237136072153004,1,2,6,59,0,0,0,16,1.81470590526684
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0224537357970282,1,2,6,59,0,0,0,16,1.80216222511078
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0243016714221866,1,2,6,59,0,0,0,16,1.82132128939912
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0215300806158199,1,2,6,59,0,0,0,16,1.79711586037111
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0252643986645225,1,2,6,59,0,0,0,16,1.83239808317898
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0241775999454166,1,2,6,59,0,0,0,16,1.82240039749156
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0222047322961454,1,2,6,59,0,0,0,16,1.80401236141353
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0241882983174263,1,2,6,59,0,0,0,16,1.82031780303783
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0220255452364712,1,2,6,59,0,0,0,16,1.80172430543445
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.022243625500603,1,2,6,59,0,0,0,16,1.80042449776468
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0256492991069935,1,2,6,59,0,0,0,16,1.83486987456921
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0208953555527906,1,2,6,59,0,0,0,16,1.7882697296971
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.025721721383242,1,2,6,59,0,0,0,16,1.83622717441751
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0237023604615782,1,2,6,59,0,0,0,16,1.81696466173642
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0249615944598915,1,2,6,59,0,0,0,16,1.8288187569274
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0214859468413529,1,2,6,59,0,0,0,16,1.79531715260724
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0258194220124967,1,2,6,59,0,0,0,16,1.8355920804674
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0235337562160116,1,2,6,59,0,0,0,16,1.81413789674002
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0216323188219938,1,2,6,59,0,0,0,16,1.79473665205854
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0239393038838164,1,2,6,59,0,0,0,16,1.81454299845172
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0256850098200421,1,2,6,59,0,0,0,16,1.8349086215212
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.024263210550759,1,2,6,59,0,0,0,16,1.8207294169293
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0229259489709115,1,2,6,59,0,0,0,16,1.80776638223736
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.02291286011751,1,2,6,59,0,0,0,16,1.80946316445656
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0224332040291492,1,2,6,59,0,0,0,16,1.80182142842733
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.02118278907177,1,2,6,59,0,0,0,16,1.79116893468123
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0220707492442145,1,2,6,59,0,0,0,16,1.80100280364065
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0243590618072233,1,2,6,59,0,0,0,16,1.82336031145056
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0225082437123093,1,2,6,59,0,0,0,16,1.80415267831697
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0227102210424178,1,2,6,59,0,0,0,16,1.80461584314321
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.020919813931629,1,2,6,59,0,0,0,16,1.78481373256256
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0214430352613592,1,2,6,59,0,0,0,16,1.79629654404309
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0252180010889122,1,2,6,59,0,0,0,16,1.83082070726708
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0222031519763119,1,2,6,59,0,0,0,16,1.80355277527834
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.024023282624575,1,2,6,59,0,0,0,16,1.81746021985503
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0215940143462345,1,2,6,59,0,0,0,16,1.79251335147222
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0245364490485514,1,2,6,59,0,0,0,16,1.82372902536929
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0246546742505129,1,2,6,59,0,0,0,16,1.8265599446768
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0239684971299586,1,2,6,59,0,0,0,16,1.81663902787467
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0250092629888361,1,2,6,59,0,0,0,16,1.8275797778334
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0247680834365865,1,2,6,59,0,0,0,16,1.82533006907936
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.022397701658023,1,2,6,59,0,0,0,16,1.80215814828457
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0236694627838296,1,2,6,59,0,0,0,16,1.81187508469213
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0210154196112192,1,2,6,59,0,0,0,16,1.79022101374312
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0216551532693678,1,2,6,59,0,0,0,16,1.79212754324362
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0259293250842305,1,2,6,59,0,0,0,16,1.83769535143152
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0232584928725293,1,2,6,59,0,0,0,16,1.81108952662469
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0235959914794274,1,2,6,59,0,0,0,16,1.8151251327046
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0247343536740679,1,2,6,59,0,0,0,16,1.82803407945134
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0263253771291058,1,2,6,59,0,0,0,16,1.83940082374441
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0243607373861307,1,2,6,59,0,0,0,16,1.82007666038718
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.021990012271233,1,2,6,59,0,0,0,16,1.80077171656347
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0207709430836308,1,2,6,59,0,0,0,16,1.78614226826877
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0207655427851289,1,2,6,59,0,0,0,16,1.78741127386779
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0233002611410457,1,2,6,59,0,0,0,16,1.81471170202047
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0247408255712771,1,2,6,59,0,0,0,16,1.82392481731956
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0209553192958191,1,2,6,59,0,0,0,16,1.78904735461462
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0207647079098528,1,2,6,59,0,0,0,16,1.78461639779082
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0228104078051885,1,2,6,59,0,0,0,16,1.80737817125187
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0246313899764169,1,2,6,59,0,0,0,16,1.82667209390524
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0236163508043808,1,2,6,59,0,0,0,16,1.81802008981803
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0218401180523476,1,2,6,59,0,0,0,16,1.79801246544518
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0251432623465287,1,2,6,59,0,0,0,16,1.82730692195298
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0232626540972803,1,2,6,59,0,0,0,16,1.81274841860775
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0225286694486548,1,2,6,59,0,0,0,16,1.80236095873748
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0233952108841121,1,2,6,59,0,0,0,16,1.81291156390036
