"population","focal_vr","focal_cov","focal_min_max","projection","lambda","focal_vr_full","focal_cov_full","focal_cov_cat"
"Bujeo","repro_survival","fallR","min",2,0.872392532166878,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Prisoneros","repro_survival","fallR","min",2,1.00519528332286,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Retin","repro_survival","fallR","min",2,0.788082924515341,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"MonteraTorero","repro_survival","fallR","min",2,0.975453457310202,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SCarbDist","repro_survival","fallR","min",2,0.92640991661793,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","repro_survival","fallR","min",2,0.836890284790118,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraRetinY5","repro_survival","fallR","min",2,0.885146219127034,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Vertedero","repro_survival","fallR","min",2,0.82651606570862,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","flowering","prevfallR","min",2,0.914132314905003,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"SierraRetinY5","flowering","prevfallR","min",2,0.872876715858928,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"Vertedero","flowering","prevfallR","min",2,0.839036645886575,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"Bujeo","flowering","prevwinterR","min",2,1.9222873485642,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"Prisoneros","flowering","prevwinterR","min",2,0.901305330773632,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"Retin","flowering","prevwinterR","min",2,1.1500664550696,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"MonteraTorero","flowering","prevwinterR","min",2,0.943509305855541,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"SCarbDist","flowering","prevwinterR","min",2,0.990755171792905,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"Bujeo","non_repro_survival","dens","min",2,0.858576617522635,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Prisoneros","non_repro_survival","dens","min",2,0.543818699824677,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Retin","non_repro_survival","dens","min",2,0.865793146747721,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"MonteraTorero","non_repro_survival","dens","min",2,0.974986719763727,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SCarbDist","non_repro_survival","dens","min",2,0.916401228847773,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","non_repro_survival","dens","min",2,0.85097688581772,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SierraRetinY5","non_repro_survival","dens","min",2,0.910895141904047,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
